




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	9_Liver_Hyperphagia_SpecificSwitches.txt (Homo sapiens)
Reference List:	Liver_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Liver_Background_AllMultiIsoGenes.txt - REFLIST (6232)	9_Liver_Hyperphagia_SpecificSwitches.txt (54)	9_Liver_Hyperphagia_SpecificSwitches.txt (expected)	9_Liver_Hyperphagia_SpecificSwitches.txt (over/under)	9_Liver_Hyperphagia_SpecificSwitches.txt (fold Enrichment)	9_Liver_Hyperphagia_SpecificSwitches.txt (raw P-value)	9_Liver_Hyperphagia_SpecificSwitches.txt (FDR)
hydroxymethylglutaryl-CoA reductase (NADPH) activity (GO:0004420)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
single-strand break-containing DNA binding (GO:1990165)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sialate 4-O-acetylesterase activity (GO:0106331)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sialate 9-O-acetylesterase activity (GO:0106330)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
TFIIIC-class transcription factor complex binding (GO:0001156)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
calcium ion binding (GO:0005509)	196	0	1.70	-	 < 0.01	4.16E-01	1.00E00
oligosaccharide binding (GO:0070492)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
leukotriene C4 gamma-glutamyl transferase activity (GO:0103068)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
4alpha-carboxy-5alpha-cholesta-8-en-3beta-ol:NAD(P)+ 3-dehydrogenase (decarboxylating) activity (GO:0103067)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
copper ion binding (GO:0005507)	17	0	.15	-	 < 0.01	1.00E00	1.00E00
4alpha-carboxy-4beta-methyl-5alpha-cholesta-8-en-3beta-ol:NAD(P)+ 3-oxidoreductase (decarboxylating) activity (GO:0103066)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-ornithine transmembrane transporter activity (GO:0000064)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
fatty acid binding (GO:0005504)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
all-trans retinal binding (GO:0005503)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
fatty-acyl-CoA binding (GO:0000062)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
11-cis retinal binding (GO:0005502)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hydroxymethylbilane synthase activity (GO:0004418)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
retinoid binding (GO:0005501)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
hydroxyacylglutathione hydrolase activity (GO:0004416)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA uridylyltransferase activity (GO:0050265)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
riboflavin transmembrane transporter activity (GO:0032217)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
dehydroascorbic acid transmembrane transporter activity (GO:0033300)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
glucosaminyl-phosphatidylinositol O-acyltransferase activity (GO:0032216)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
homogentisate 1,2-dioxygenase activity (GO:0004411)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ribosylnicotinamide kinase activity (GO:0050262)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription termination site sequence-specific DNA binding (GO:0001147)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
histone deacetylase activity (GO:0004407)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
rhodopsin kinase activity (GO:0050254)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histone acetyltransferase activity (GO:0004402)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
retinyl-palmitate esterase activity (GO:0050253)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
retinol O-fatty-acyltransferase activity (GO:0050252)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
UFM1 transferase activity (GO:0071568)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
UFM1 hydrolase activity (GO:0071567)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
minus-end directed microfilament motor activity (GO:0060001)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
UFM1 activating enzyme activity (GO:0071566)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
extracellular matrix constituent conferring elasticity (GO:0030023)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ceramide 1-phosphate transfer activity (GO:1902388)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ceramide 1-phosphate binding (GO:1902387)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
extracellular matrix structural constituent conferring compression resistance (GO:0030021)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
tRNA binding (GO:0000049)	38	0	.33	-	 < 0.01	1.00E00	1.00E00
extracellular matrix structural constituent conferring tensile strength (GO:0030020)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
peptidyltransferase activity (GO:0000048)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
methione N-acyltransferase activity (GO:0103045)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein threonine phosphatase activity (GO:0106307)	38	0	.33	-	 < 0.01	1.00E00	1.00E00
methylbutanoate-CoA ligase activity (GO:0043759)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein serine phosphatase activity (GO:0106306)	39	0	.34	-	 < 0.01	1.00E00	1.00E00
histone H3-tri/di-methyl-lysine-27 demethylase activity (GO:0071558)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
selenite:proton symporter activity (GO:0097079)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alpha-1,3-mannosyltransferase activity (GO:0000033)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mannosyltransferase activity (GO:0000030)	17	0	.15	-	 < 0.01	1.00E00	1.00E00
cyclic pyranopterin monophosphate synthase activity (GO:0061799)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
GTP 3',8'-cyclase activity (GO:0061798)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alpha-1,2-mannosyltransferase activity (GO:0000026)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
fructose-1-phosphatase activity (GO:0103026)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neuropilin binding (GO:0038191)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA hydratase activity (GO:0033989)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
G/U mismatch-specific uracil-DNA glycosylase activity (GO:0043739)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
prostaglandin-E synthase activity (GO:0050220)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
palmitoyl-CoA 9-desaturase activity (GO:0032896)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing compound transmembrane transporter activity (GO:0015932)	25	0	.22	-	 < 0.01	1.00E00	1.00E00
peptidoglycan muralytic activity (GO:0061783)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endoribonuclease inhibitor activity (GO:0060698)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA-N1-methyladenine dioxygenase activity (GO:0043734)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA-3-methylbase glycosylase activity (GO:0043733)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RING-like zinc finger domain binding (GO:0071535)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ankyrin repeat binding (GO:0071532)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
pattern recognition receptor activity (GO:0038187)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
single-stranded DNA endodeoxyribonuclease activity (GO:0000014)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
trans-hexaprenyltranstransferase activity (GO:0000010)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
bile acid receptor activity (GO:0038181)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
propionate-CoA ligase activity (GO:0050218)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
glucosidase activity (GO:0015926)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
H4 histone acetyltransferase activity (GO:0010485)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
intracellular chloride channel activity (GO:0061778)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
H3 histone acetyltransferase activity (GO:0010484)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
galactosidase activity (GO:0015925)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
mannosyl-oligosaccharide mannosidase activity (GO:0015924)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
procollagen galactosyltransferase activity (GO:0050211)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cohesin loading activity (GO:0061775)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mannosidase activity (GO:0015923)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
5-amino-4-imidazole carboxylate lyase activity (GO:0043727)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aspartate oxidase activity (GO:0015922)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acylphosphatase activity (GO:0003998)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acyl-CoA oxidase activity (GO:0003997)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
acyl-CoA dehydrogenase activity (GO:0003995)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
aconitate hydratase activity (GO:0003994)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
translation elongation factor binding (GO:0061770)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acid phosphatase activity (GO:0003993)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
alpha-1,6-mannosyltransferase activity (GO:0000009)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ferric iron binding (GO:0008199)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidate phosphatase activity (GO:0008195)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
UDP-glycosyltransferase activity (GO:0008194)	37	0	.32	-	 < 0.01	1.00E00	1.00E00
ribosylnicotinate kinase activity (GO:0061769)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
magnesium:sodium antiporter activity (GO:0061768)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA guanylyltransferase activity (GO:0008192)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
metalloendopeptidase inhibitor activity (GO:0008191)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
eukaryotic initiation factor 4E binding (GO:0008190)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA carboxylase activity (GO:0003989)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA C-acyltransferase activity (GO:0003988)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase activity (GO:0043716)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity (GO:0043715)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acetate-CoA ligase activity (GO:0003987)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA hydrolase activity (GO:0003986)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA C-acetyltransferase activity (GO:0003985)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
acetolactate synthase activity (GO:0003984)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
UTP:glucose-1-phosphate uridylyltransferase activity (GO:0003983)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled transmembrane transporter activity (GO:0042626)	42	0	.36	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled ion transmembrane transporter activity (GO:0042625)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
UDP-glucose:glycoprotein glucosyltransferase activity (GO:0003980)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neuropeptide receptor activity (GO:0008188)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
poly-pyrimidine tract binding (GO:0008187)	16	0	.14	-	 < 0.01	1.00E00	1.00E00
ATP-dependent activity, acting on RNA (GO:0008186)	45	0	.39	-	 < 0.01	1.00E00	1.00E00
glycogen phosphorylase activity (GO:0008184)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nerve growth factor receptor activity (GO:0010465)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
UDP-glucose 6-dehydrogenase activity (GO:0003979)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine diphosphorylase activity (GO:0003977)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity (GO:0003976)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
telomeric repeat-containing RNA binding (GO:0061752)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity (GO:0003975)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acid sphingomyelin phosphodiesterase activity (GO:0061750)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquitin-protein transferase activator activity (GO:0097027)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
(S)-2-hydroxy-acid oxidase activity (GO:0003973)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA ligase (ATP) activity (GO:0003972)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fructose 6-phosphate aldolase activity (GO:0097023)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
type 2 hypocretin receptor binding (GO:0031772)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
type 1 hypocretin receptor binding (GO:0031771)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
COPII receptor activity (GO:0097020)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
R-SMAD binding (GO:0070412)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
I-SMAD binding (GO:0070411)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
co-SMAD binding (GO:0070410)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
polymeric immunoglobulin receptor activity (GO:0001792)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein carboxyl O-methyltransferase activity (GO:0051998)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase binding (GO:0008179)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase activity (GO:0051997)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
squalene synthase activity (GO:0051996)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
succinate dehydrogenase (ubiquinone) activity (GO:0008177)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine-N7-)-methyltransferase activity (GO:0008176)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
tRNA methyltransferase activity (GO:0008175)	23	0	.20	-	 < 0.01	1.00E00	1.00E00
mRNA methyltransferase activity (GO:0008174)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
forked DNA-dependent helicase activity (GO:0061749)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA methyltransferase activity (GO:0008173)	43	0	.37	-	 < 0.01	1.00E00	1.00E00
S-methyltransferase activity (GO:0008172)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
O-methyltransferase activity (GO:0008171)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
(R)-2-hydroxyglutarate dehydrogenase activity (GO:0051990)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
N-methyltransferase activity (GO:0008170)	51	0	.44	-	 < 0.01	1.00E00	1.00E00
CD4 receptor binding (GO:0042609)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
T cell receptor binding (GO:0042608)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA-directed DNA polymerase activity (GO:0003964)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA-3'-phosphate cyclase activity (GO:0003963)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L27 domain binding (GO:0097016)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
peptide antigen binding (GO:0042605)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
NADPH:quinone reductase activity (GO:0003960)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
follicle-stimulating hormone receptor binding (GO:0031762)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
monocarboxylate:sodium symporter activity (GO:0140161)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
NADH binding (GO:0070404)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NAD+ binding (GO:0070403)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
NADPH binding (GO:0070402)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylserine binding (GO:0001786)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
NADP+ binding (GO:0070401)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphotyrosine residue binding (GO:0001784)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
C-methyltransferase activity (GO:0008169)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
methyltransferase activity (GO:0008168)	115	0	1.00	-	 < 0.01	6.27E-01	1.00E00
GDP binding (GO:0019003)	26	0	.23	-	 < 0.01	1.00E00	1.00E00
cobalt ion binding (GO:0050897)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endoribonuclease activity, cleaving miRNA-paired mRNA (GO:0090624)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein tyrosine phosphatase activator activity (GO:0008160)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptide-lysine-N-acetyltransferase activity (GO:0061733)	23	0	.20	-	 < 0.01	1.00E00	1.00E00
NAD(P)+ transhydrogenase (B-specific) activity (GO:0003957)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NAD(P)+-protein-arginine ADP-ribosyltransferase activity (GO:0003956)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NAD(P)H dehydrogenase (quinone) activity (GO:0003955)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
ribonucleoside-diphosphate reductase activity (GO:0061731)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NADH dehydrogenase activity (GO:0003954)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
NAD+ nucleosidase activity (GO:0003953)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
NAD+ synthase (glutamine-hydrolyzing) activity (GO:0003952)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NAD+ kinase activity (GO:0003951)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
Edg-2 lysophosphatidic acid receptor binding (GO:0031755)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NAD+ ADP-ribosyltransferase activity (GO:0003950)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
adipokinetic hormone receptor activity (GO:0097003)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein tyrosine kinase binding (GO:1990782)	43	0	.37	-	 < 0.01	1.00E00	1.00E00
endothelial differentiation G protein-coupled receptor binding (GO:0031753)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
D5 dopamine receptor binding (GO:0031752)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ceramide binding (GO:0097001)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
neuregulin binding (GO:0038132)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
lysophospholipid:sodium symporter activity (GO:0051978)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein phosphatase 1 binding (GO:0008157)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
carotenoid dioxygenase activity (GO:0010436)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity (GO:0003948)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
D2 dopamine receptor binding (GO:0031749)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
N-acetyllactosamine synthase activity (GO:0003945)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
D1 dopamine receptor binding (GO:0031748)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase activity (GO:0003944)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acetylgalactosamine-4-sulfatase activity (GO:0003943)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
L-serine ammonia-lyase activity (GO:0003941)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleocytoplasmic carrier activity (GO:0140142)	23	0	.20	-	 < 0.01	1.00E00	1.00E00
aminocarboxymuconate-semialdehyde decarboxylase activity (GO:0001760)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glucan 1,3-alpha-glucosidase activity (GO:0033919)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sulfotransferase activity (GO:0008146)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
poly(A) binding (GO:0008143)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
oxysterol binding (GO:0008142)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
IMP dehydrogenase activity (GO:0003938)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
3,4-dihydroxy-5-polyprenylbenzoic acid O-methyltransferase activity (GO:0010420)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase (GO:0061712)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alpha-1,3-glucosidase activity (GO:0090600)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
N(6)-L-threonylcarbamoyladenine synthase activity (GO:0061711)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
GTP cyclohydrolase I activity (GO:0003934)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
GTP cyclohydrolase activity (GO:0003933)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
arrestin family protein binding (GO:1990763)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
osmolarity-sensing cation channel activity (GO:1990760)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
retinal dehydrogenase activity (GO:0001758)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
CCR5 chemokine receptor binding (GO:0031730)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA NAD-cap (NMN-forming) hydrolase activity (GO:0110153)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA NAD-cap (NAD-forming) hydrolase activity (GO:0110152)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dynein light intermediate chain binding (GO:0051959)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
nuclear localization sequence binding (GO:0008139)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
protein tyrosine/serine/threonine phosphatase activity (GO:0008138)	21	0	.18	-	 < 0.01	1.00E00	1.00E00
NADH dehydrogenase (ubiquinone) activity (GO:0008137)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
hyaluronoglucuronidase activity (GO:0033906)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA-5-taurinomethyluridine 2-sulfurtransferase (GO:0061708)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
primary amine oxidase activity (GO:0008131)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
calcium-independent phospholipase A2 activity (GO:0047499)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
calcium-dependent phospholipase A2 activity (GO:0047498)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
tumor necrosis factor receptor superfamily binding (GO:0032813)	18	0	.16	-	 < 0.01	1.00E00	1.00E00
G protein activity (GO:0003925)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
CCR3 chemokine receptor binding (GO:0031728)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquitin ligase activator activity (GO:1990757)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ceramide cholinephosphotransferase activity (GO:0047493)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
sterol response element binding (GO:0032810)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
CCR1 chemokine receptor binding (GO:0031726)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
GMP synthase (glutamine-hydrolyzing) activity (GO:0003922)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
GMP synthase activity (GO:0003921)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
activin receptor antagonist activity (GO:0038102)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nodal binding (GO:0038100)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acetylesterase activity (GO:0008126)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
FMN adenylyltransferase activity (GO:0003919)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity (GO:0003918)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA topoisomerase type I (single strand cut, ATP-independent) activity (GO:0003917)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA topoisomerase activity (GO:0003916)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
protein N-terminus binding (GO:0047485)	55	0	.48	-	 < 0.01	1.00E00	1.00E00
C5L2 anaphylatoxin chemotactic receptor binding (GO:0031715)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
C5a anaphylatoxin chemotactic receptor binding (GO:0031714)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA ligase (ATP) activity (GO:0003910)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
U6 snRNA 3'-end binding (GO:0030629)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pre-mRNA 3'-splice site binding (GO:0030628)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
bradykinin receptor binding (GO:0031711)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pre-mRNA 5'-splice site binding (GO:0030627)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
FBXO family protein binding (GO:0098770)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
U12 snRNA binding (GO:0030626)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
U6atac snRNA binding (GO:0030624)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
U5 snRNA binding (GO:0030623)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
intracellular phosphatidylinositol-3,5-bisphosphate-sensitive cation channel activity (GO:0097682)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
mRNA (N6-adenosine)-methyltransferase activity (GO:0001734)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
U4atac snRNA binding (GO:0030622)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
U4 snRNA binding (GO:0030621)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
galactosylceramide sulfotransferase activity (GO:0001733)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
U2 snRNA binding (GO:0030620)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
D-glucose transmembrane transporter activity (GO:0055056)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
2'-5'-oligoadenylate synthetase activity (GO:0001730)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
thiopurine S-methyltransferase activity (GO:0008119)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
