




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	9_Liver_Hyperphagia_SpecificSwitches.txt (Homo sapiens)
Reference List:	Liver_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Liver_Background_AllMultiIsoGenes.txt - REFLIST (6232)	9_Liver_Hyperphagia_SpecificSwitches.txt (54)	9_Liver_Hyperphagia_SpecificSwitches.txt (expected)	9_Liver_Hyperphagia_SpecificSwitches.txt (over/under)	9_Liver_Hyperphagia_SpecificSwitches.txt (fold Enrichment)	9_Liver_Hyperphagia_SpecificSwitches.txt (raw P-value)	9_Liver_Hyperphagia_SpecificSwitches.txt (FDR)
regulation of establishment of protein localization to mitochondrion (GO:1903747)	27	0	.23	-	 < 0.01	1.00E00	1.00E00
positive regulation of anterograde synaptic vesicle transport (GO:1903744)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of anterograde synaptic vesicle transport (GO:1903742)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of phosphatidate phosphatase activity (GO:1903741)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RIG-I signaling pathway (GO:0039529)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
modulation by virus of host apoptotic process (GO:0039526)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
post-embryonic hemopoiesis (GO:0035166)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter in response to heat stress (GO:0061408)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter in response to acidic pH (GO:0061402)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter in response to calcium ion (GO:0061400)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of phosphatidate phosphatase activity (GO:1903730)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of plasma membrane organization (GO:1903729)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
cyclic-nucleotide-mediated signaling (GO:0019935)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
cGMP-mediated signaling (GO:0019934)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of phospholipid metabolic process (GO:1903727)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
cAMP-mediated signaling (GO:0019933)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of phospholipid metabolic process (GO:1903726)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of tube size (GO:0035150)	42	0	.36	-	 < 0.01	1.00E00	1.00E00
second-messenger-mediated signaling (GO:0019932)	67	0	.58	-	 < 0.01	1.00E00	1.00E00
regulation of phospholipid metabolic process (GO:1903725)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
positive regulation of centriole elongation (GO:1903724)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of centriole elongation (GO:1903723)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of centriole elongation (GO:1903722)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of I-kappaB phosphorylation (GO:1903721)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of I-kappaB phosphorylation (GO:1903720)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of I-kappaB phosphorylation (GO:1903719)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of aerobic respiration (GO:1903715)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
isoleucine transmembrane transport (GO:1903714)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cysteine transmembrane transport (GO:1903712)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
spermine transmembrane transport (GO:1903710)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hindlimb morphogenesis (GO:0035137)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine methylation, to asymmetrical-dimethyl arginine (GO:0019919)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
forelimb morphogenesis (GO:0035136)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine methylation, to symmetrical-dimethyl arginine (GO:0019918)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
uterine gland development (GO:1903709)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lipid storage (GO:0019915)	21	0	.18	-	 < 0.01	1.00E00	1.00E00
positive regulation of hemopoiesis (GO:1903708)	44	0	.38	-	 < 0.01	1.00E00	1.00E00
negative regulation of hemopoiesis (GO:1903707)	28	0	.24	-	 < 0.01	1.00E00	1.00E00
regulation of hemopoiesis (GO:1903706)	107	0	.93	-	 < 0.01	1.00E00	1.00E00
post-embryonic forelimb morphogenesis (GO:0035128)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
post-embryonic limb morphogenesis (GO:0035127)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
post-embryonic appendage morphogenesis (GO:0035120)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of dendritic spine development (GO:0060999)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of dendritic spine development (GO:0060998)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
dendritic spine morphogenesis (GO:0060997)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
dendritic spine development (GO:0060996)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
cell-cell signaling involved in kidney development (GO:0060995)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
kidney morphogenesis (GO:0060993)	24	0	.21	-	 < 0.01	1.00E00	1.00E00
response to fungicide (GO:0060992)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
embryonic hindlimb morphogenesis (GO:0035116)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
embryonic forelimb morphogenesis (GO:0035115)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
genitalia morphogenesis (GO:0035112)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
lipid tube assembly (GO:0060988)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
endocrine hormone secretion (GO:0060986)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
coronary artery morphogenesis (GO:0060982)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cell migration involved in coronary angiogenesis (GO:0060981)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
operant conditioning (GO:0035106)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vasculogenesis involved in coronary vascular morphogenesis (GO:0060979)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
angiogenesis involved in coronary vascular morphogenesis (GO:0060978)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
coronary vasculature morphogenesis (GO:0060977)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
coronary vasculature development (GO:0060976)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
cell migration involved in heart development (GO:0060973)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
left/right pattern formation (GO:0060972)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
decidualization (GO:0046697)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of gene silencing by RNA (GO:0060967)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of gene silencing by RNA (GO:0060966)	27	0	.23	-	 < 0.01	1.00E00	1.00E00
negative regulation of gene silencing by miRNA (GO:0060965)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of gene silencing by miRNA (GO:0060964)	24	0	.21	-	 < 0.01	1.00E00	1.00E00
response to mercury ion (GO:0046689)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
response to copper ion (GO:0046688)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
response to cadmium ion (GO:0046686)	18	0	.16	-	 < 0.01	1.00E00	1.00E00
response to arsenic-containing substance (GO:0046685)	17	0	.15	-	 < 0.01	1.00E00	1.00E00
response to organophosphorus (GO:0046683)	50	0	.43	-	 < 0.01	1.00E00	1.00E00
endocardial cell fate commitment (GO:0060957)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endocardial cell differentiation (GO:0060956)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to antibiotic (GO:0046677)	23	0	.20	-	 < 0.01	1.00E00	1.00E00
negative regulation of insulin secretion (GO:0046676)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of retinal cell programmed cell death (GO:0046671)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cardiac vascular smooth muscle cell differentiation (GO:0060947)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
epithelial to mesenchymal transition involved in cardiac fibroblast development (GO:0060940)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of retinal cell programmed cell death (GO:0046668)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
female sex differentiation (GO:0046660)	38	0	.33	-	 < 0.01	1.00E00	1.00E00
response to luteinizing hormone (GO:0034699)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to gonadotropin (GO:0034698)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
response to prostaglandin F (GO:0034696)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
epicardium-derived cardiac fibroblast cell development (GO:0060939)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
response to prostaglandin E (GO:0034695)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
epicardium-derived cardiac fibroblast cell differentiation (GO:0060938)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
response to prostaglandin (GO:0034694)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
cardiac fibroblast cell development (GO:0060936)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cardiac fibroblast cell differentiation (GO:0060935)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
His-Purkinje system cell differentiation (GO:0060932)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sinoatrial node cell development (GO:0060931)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
folic acid metabolic process (GO:0046655)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
tetrahydrofolate biosynthetic process (GO:0046654)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
lymphocyte proliferation (GO:0046651)	21	0	.18	-	 < 0.01	1.00E00	1.00E00
atrioventricular node cell development (GO:0060928)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cardiac pacemaker cell development (GO:0060926)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cardiac muscle cell fate commitment (GO:0060923)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
atrioventricular node cell differentiation (GO:0060922)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sinoatrial node cell differentiation (GO:0060921)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cardiac pacemaker cell differentiation (GO:0060920)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of gamma-delta T cell activation (GO:0046645)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of gamma-delta T cell activation (GO:0046643)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of alpha-beta T cell proliferation (GO:0046642)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular response to interleukin-17 (GO:0097398)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of alpha-beta T cell proliferation (GO:0046641)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of alpha-beta T cell proliferation (GO:0046640)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
response to interleukin-17 (GO:0097396)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
mesenchymal cell proliferation involved in lung development (GO:0060916)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mesenchymal cell differentiation involved in lung development (GO:0060915)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
heart formation (GO:0060914)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cardiac cell fate commitment (GO:0060911)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of alpha-beta T cell differentiation (GO:0046639)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
negative regulation of transformation of host cell by virus (GO:1904188)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of alpha-beta T cell differentiation (GO:0046638)	16	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of transformation of host cell by virus (GO:1904187)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of alpha-beta T cell differentiation (GO:0046637)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
negative regulation of alpha-beta T cell activation (GO:0046636)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
positive regulation of alpha-beta T cell activation (GO:0046635)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
positive regulation of pyruvate dehydrogenase activity (GO:1904184)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of alpha-beta T cell activation (GO:0046634)	30	0	.26	-	 < 0.01	1.00E00	1.00E00
alpha-beta T cell proliferation (GO:0046633)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of pyruvate dehydrogenase activity (GO:1904182)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alpha-beta T cell differentiation (GO:0046632)	18	0	.16	-	 < 0.01	1.00E00	1.00E00
positive regulation of membrane depolarization (GO:1904181)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
alpha-beta T cell activation (GO:0046631)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
negative regulation of membrane depolarization (GO:1904180)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
purine nucleoside metabolic process (GO:0042278)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
cellular lipid biosynthetic process (GO:0097384)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
error-free postreplication DNA repair (GO:0042275)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ribosomal small subunit biogenesis (GO:0042274)	40	0	.35	-	 < 0.01	1.00E00	1.00E00
ribosomal large subunit biogenesis (GO:0042273)	34	0	.29	-	 < 0.01	1.00E00	1.00E00
positive regulation of macrophage cytokine production (GO:0060907)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
susceptibility to natural killer cell mediated cytotoxicity (GO:0042271)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ncRNA catabolic process (GO:0034661)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
protection from natural killer cell mediated cytotoxicity (GO:0042270)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein folding in endoplasmic reticulum (GO:0060904)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of hair cycle by canonical Wnt signaling pathway (GO:0060901)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
embryonic camera-type eye formation (GO:0060900)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of adipose tissue development (GO:1904179)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of adipose tissue development (GO:1904178)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
gamma-delta T cell activation (GO:0046629)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of insulin receptor signaling pathway (GO:0046628)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of adipose tissue development (GO:1904177)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of insulin receptor signaling pathway (GO:0046627)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
regulation of insulin receptor signaling pathway (GO:0046626)	37	0	.32	-	 < 0.01	1.00E00	1.00E00
positive regulation of organ growth (GO:0046622)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of natural killer cell mediated cytotoxicity (GO:0042269)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
natural killer cell mediated cytotoxicity (GO:0042267)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
sensory neuron axon guidance (GO:0097374)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-aspartic acid hydroxylation (GO:0042264)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA protection (GO:0042262)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
retinoic acid catabolic process (GO:0034653)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intestinal cholesterol absorption (GO:0030299)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
lens placode formation involved in camera-type eye formation (GO:0046619)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
xenobiotic export (GO:0046618)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
establishment of Sertoli cell barrier (GO:0097368)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mature ribosome assembly (GO:0042256)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ribosome assembly (GO:0042255)	23	0	.20	-	 < 0.01	1.00E00	1.00E00
establishment of mitochondrion localization, microtubule-mediated (GO:0034643)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
bone mineralization (GO:0030282)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of centrosome cycle (GO:0046606)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
DN2 thymocyte differentiation (GO:1904155)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of centrosome cycle (GO:0046605)	28	0	.24	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitotic centrosome separation (GO:0046604)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of retrograde protein transport, ER to cytosol (GO:1904153)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of retrograde protein transport, ER to cytosol (GO:1904152)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
UDP-glucosylation (GO:0097359)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of mitotic centrosome separation (GO:0046602)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of microglial cell mediated cytotoxicity (GO:1904151)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of centriole replication (GO:0046601)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of centriole replication (GO:0046600)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
establishment of planar polarity of embryonic epithelium (GO:0042249)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine catabolic process (GO:0034638)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
protein localization to heterochromatin (GO:0097355)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tissue regeneration (GO:0042246)	18	0	.16	-	 < 0.01	1.00E00	1.00E00
cellular carbohydrate biosynthetic process (GO:0034637)	24	0	.21	-	 < 0.01	1.00E00	1.00E00
prenylation (GO:0097354)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
RNA repair (GO:0042245)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glutathione transport (GO:0034635)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
neutrophil clearance (GO:0097350)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
retinol transport (GO:0034633)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of ossification (GO:0030279)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of ossification (GO:0030278)	36	0	.31	-	 < 0.01	1.00E00	1.00E00
maintenance of gastrointestinal epithelium (GO:0030277)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of microglial cell mediated cytotoxicity (GO:1904149)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of alkaline phosphatase activity (GO:0010694)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of alkaline phosphatase activity (GO:0010692)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of microglial cell migration (GO:1904141)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial outer membrane permeabilization (GO:0097345)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
'de novo' NAD biosynthetic process (GO:0034627)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
fatty acid elongation, polyunsaturated fatty acid (GO:0034626)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
fatty acid elongation, monounsaturated fatty acid (GO:0034625)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
zymogen inhibition (GO:0097341)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
inhibition of cysteine-type endopeptidase activity (GO:0097340)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
apoptotic chromosome condensation (GO:0030263)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
apoptotic nuclear changes (GO:0030262)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
chromosome condensation (GO:0030261)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of microglial cell migration (GO:1904139)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to clozapine (GO:0097338)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to laminar fluid shear stress (GO:0034616)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
response to antipsychotic drug (GO:0097332)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to reactive oxygen species (GO:0034614)	49	0	.42	-	 < 0.01	1.00E00	1.00E00
response to tumor necrosis factor (GO:0034612)	69	0	.60	-	 < 0.01	1.00E00	1.00E00
response to cocaine (GO:0042220)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
lipid glycosylation (GO:0030259)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
lipid modification (GO:0030258)	88	0	.76	-	 < 0.01	1.00E00	1.00E00
growth hormone secretion (GO:0030252)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular carbohydrate metabolic process (GO:0010677)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular carbohydrate metabolic process (GO:0010676)	24	0	.21	-	 < 0.01	1.00E00	1.00E00
regulation of cellular carbohydrate metabolic process (GO:0010675)	65	0	.56	-	 < 0.01	1.00E00	1.00E00
microglial cell migration (GO:1904124)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to antineoplastic agent (GO:0097327)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
amino acid import across plasma membrane (GO:0089718)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
cellular modified amino acid catabolic process (GO:0042219)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
axon ensheathment (GO:0008366)	39	0	.34	-	 < 0.01	1.00E00	1.00E00
melanocyte migration (GO:0097324)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
B cell adhesion (GO:0097323)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to heat (GO:0034605)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
regulation of cell size (GO:0008361)	66	0	.57	-	 < 0.01	1.00E00	1.00E00
terpene metabolic process (GO:0042214)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cell shape (GO:0008360)	64	0	.55	-	 < 0.01	1.00E00	1.00E00
plasma membrane tubulation (GO:0097320)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
autophagy of peroxisome (GO:0030242)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
skeletal muscle myosin thick filament assembly (GO:0030241)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
skeletal muscle thin filament assembly (GO:0030240)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
epithelial structure maintenance (GO:0010669)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
ectodermal cell differentiation (GO:0010668)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of cardiac muscle cell apoptotic process (GO:0010667)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
cellular response to vasopressin (GO:1904117)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac muscle cell apoptotic process (GO:0010666)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
response to vasopressin (GO:1904116)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle cell apoptotic process (GO:0010665)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
negative regulation of striated muscle cell apoptotic process (GO:0010664)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of striated muscle cell apoptotic process (GO:0010663)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
