




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	4_Adipose_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Adipose_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Adipose_Background_AllMultiIsoGenes.txt - REFLIST (7142)	4_Adipose_Active_SpecificSwitches.txt (204)	4_Adipose_Active_SpecificSwitches.txt (expected)	4_Adipose_Active_SpecificSwitches.txt (over/under)	4_Adipose_Active_SpecificSwitches.txt (fold Enrichment)	4_Adipose_Active_SpecificSwitches.txt (raw P-value)	4_Adipose_Active_SpecificSwitches.txt (FDR)
carbohydrate response element binding (GO:0035538)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
lysine N-acetyltransferase activity, acting on acetyl phosphate as donor (GO:0004468)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid-CoA ligase activity (GO:0004467)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
long-chain-acyl-CoA dehydrogenase activity (GO:0004466)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
lactoylglutathione lyase activity (GO:0004462)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
anion:anion antiporter activity (GO:0015301)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
lactose synthase activity (GO:0004461)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
cob(I)yrinic acid a,c-diamide adenosyltransferase activity (GO:0008817)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
deoxynucleoside triphosphate hydrolase activity (GO:0106375)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphopantetheine binding (GO:0031177)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3-deoxyglucosone dehydrogenase activity (GO:0106373)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
choline dehydrogenase activity (GO:0008812)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein-L-histidine N-pros-methyltransferase activity (GO:0106370)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
NADH pyrophosphatase activity (GO:0035529)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
interleukin-15 receptor activity (GO:0042010)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,4,5-trisphosphate binding (GO:0005547)	22	0	.63	-	 < 0.01	1.00E00	1.00E00
1-phosphatidylinositol binding (GO:0005545)	10	0	.29	-	 < 0.01	1.00E00	1.00E00
D-lactate dehydrogenase (cytochrome) activity (GO:0004458)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
folic acid binding (GO:0005542)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
lactate dehydrogenase activity (GO:0004457)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
hyaluronic acid binding (GO:0005540)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
cardiolipin synthase activity (GO:0008808)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
isocitrate dehydrogenase (NADP+) activity (GO:0004450)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
interleukin-18 binding (GO:0042007)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
4-hydroxy-3-all-trans-hexaprenylbenzoate oxygenase activity (GO:0106364)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein-cysteine methyltransferase activity (GO:0106363)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
beta-lactamase activity (GO:0008800)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
peptide-glutamate-N-acetyltransferase activity (GO:1990190)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidative DNA demethylase activity (GO:0035516)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
oxidative RNA demethylase activity (GO:0035515)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
DNA demethylase activity (GO:0035514)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
sulfur amino acid transmembrane transporter activity (GO:0000099)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I general transcription initiation factor activity (GO:0001181)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
mannose binding (GO:0005537)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
glucose binding (GO:0005536)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
S-adenosyl-L-methionine transmembrane transporter activity (GO:0000095)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
isocitrate dehydrogenase (NAD+) activity (GO:0004449)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
isocitrate dehydrogenase activity (GO:0004448)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
inositol-polyphosphate 5-phosphatase activity (GO:0004445)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
norepinephrine binding (GO:0051380)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
steryl-beta-glucosidase activity (GO:0050295)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
endopeptidase activator activity (GO:0061133)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
inositol-1,4-bisphosphate 1-phosphatase activity (GO:0004441)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
peptide-serine-N-acetyltransferase activity (GO:1990189)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
sphingosine N-acyltransferase activity (GO:0050291)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
sphingomyelin phosphodiesterase D activity (GO:0050290)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase activity (H3-K79 specific) (GO:0031151)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I general transcription initiation factor binding (GO:0001179)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
FK506 binding (GO:0005528)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
MH2 domain binding (GO:0035500)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
macrolide binding (GO:0005527)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
epinephrine binding (GO:0051379)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
serotonin binding (GO:0051378)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mannose-ethanolamine phosphotransferase activity (GO:0051377)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
peroxisome membrane targeting sequence binding (GO:0033328)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tropomyosin binding (GO:0005523)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity (GO:0004439)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
profilin binding (GO:0005522)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3-phosphatase activity (GO:0004438)	14	0	.40	-	 < 0.01	1.00E00	1.00E00
lamin binding (GO:0005521)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
FATZ binding (GO:0051373)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
insulin-like growth factor binding (GO:0005520)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol phospholipase C activity (GO:0004435)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
1-phosphatidylinositol 4-kinase activity (GO:0004430)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
U2 snRNA 2'-O-methyladenosine m6 methyltransferase activity (GO:0106347)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
snRNA methyltransferase activity (GO:0106346)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glyoxylate reductase activity (GO:0106345)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
EH domain binding (GO:1990175)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphodiesterase decapping endonuclease activity (GO:1990174)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I cis-regulatory region sequence-specific DNA binding (GO:0001165)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I core promoter sequence-specific DNA binding (GO:0001164)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I transcription regulatory region sequence-specific DNA binding (GO:0001163)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding (GO:0001162)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
cytoskeletal regulatory protein binding (GO:0005519)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
collagen binding (GO:0005518)	33	0	.94	-	 < 0.01	1.00E00	1.00E00
intronic transcription regulatory region sequence-specific DNA binding (GO:0001161)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
inorganic diphosphatase activity (GO:0004427)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
hydroxymethylglutaryl-CoA reductase (NADPH) activity (GO:0004420)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
single-strand break-containing DNA binding (GO:1990165)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sialate 4-O-acetylesterase activity (GO:0106331)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sialate 9-O-acetylesterase activity (GO:0106330)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
TFIIIC-class transcription factor complex binding (GO:0001156)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oligosaccharide binding (GO:0070492)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
leukotriene C4 gamma-glutamyl transferase activity (GO:0103068)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
iron ion binding (GO:0005506)	40	0	1.14	-	 < 0.01	6.29E-01	1.00E00
L-ornithine transmembrane transporter activity (GO:0000064)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
all-trans retinal binding (GO:0005503)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
hydroxymethylbilane synthase activity (GO:0004418)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
retinoid binding (GO:0005501)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
hydroxyacylglutathione hydrolase activity (GO:0004416)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
hyalurononglucosaminidase activity (GO:0004415)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
RNA uridylyltransferase activity (GO:0050265)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
riboflavin transmembrane transporter activity (GO:0032217)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
dehydroascorbic acid transmembrane transporter activity (GO:0033300)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
glucosaminyl-phosphatidylinositol O-acyltransferase activity (GO:0032216)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ribosylnicotinamide kinase activity (GO:0050262)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
transcription termination site sequence-specific DNA binding (GO:0001147)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
ribitol 2-dehydrogenase activity (GO:0050255)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
rhodopsin kinase activity (GO:0050254)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone acetyltransferase activity (GO:0004402)	23	0	.66	-	 < 0.01	1.00E00	1.00E00
retinyl-palmitate esterase activity (GO:0050253)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
retinol O-fatty-acyltransferase activity (GO:0050252)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
talin binding (GO:1990147)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
methylenetetrahydrofolate reductase NADPH activity (GO:0106313)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
UFM1 transferase activity (GO:0071568)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
methylenetetrahydrofolate reductase NADH activity (GO:0106312)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
UFM1 hydrolase activity (GO:0071567)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
minus-end directed microfilament motor activity (GO:0060001)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
UFM1 activating enzyme activity (GO:0071566)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
extracellular matrix constituent conferring elasticity (GO:0030023)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
ceramide 1-phosphate transfer activity (GO:1902388)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
ceramide 1-phosphate binding (GO:1902387)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
extracellular matrix structural constituent conferring compression resistance (GO:0030021)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
peptidyltransferase activity (GO:0000048)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
methylbutanoate-CoA ligase activity (GO:0043759)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H3-tri/di-methyl-lysine-27 demethylase activity (GO:0071558)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
selenite:proton symporter activity (GO:0097079)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
G protein-coupled pyrimidinergic nucleotide receptor activity (GO:0071553)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
alpha-1,3-mannosyltransferase activity (GO:0000033)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
mannosyltransferase activity (GO:0000030)	21	0	.60	-	 < 0.01	1.00E00	1.00E00
cyclic pyranopterin monophosphate synthase activity (GO:0061799)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
GTP 3',8'-cyclase activity (GO:0061798)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
alpha-1,2-mannosyltransferase activity (GO:0000026)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
fructose-1-phosphatase activity (GO:0103026)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
neuropilin binding (GO:0038191)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA hydratase activity (GO:0033989)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
G/U mismatch-specific uracil-DNA glycosylase activity (GO:0043739)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
prostaglandin-E synthase activity (GO:0050220)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
palmitoyl-CoA 9-desaturase activity (GO:0032896)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing compound transmembrane transporter activity (GO:0015932)	27	0	.77	-	 < 0.01	1.00E00	1.00E00
peptidoglycan muralytic activity (GO:0061783)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA-N1-methyladenine dioxygenase activity (GO:0043734)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
endoribonuclease inhibitor activity (GO:0060698)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA-3-methylbase glycosylase activity (GO:0043733)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
RING-like zinc finger domain binding (GO:0071535)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
ankyrin repeat binding (GO:0071532)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
single-stranded DNA endodeoxyribonuclease activity (GO:0000014)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
hexosaminidase activity (GO:0015929)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
fucosidase activity (GO:0015928)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
intracellular chloride channel activity (GO:0061778)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
H4 histone acetyltransferase activity (GO:0010485)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
progesterone 5-alpha-reductase activity (GO:0050213)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
H3 histone acetyltransferase activity (GO:0010484)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
mannosyl-oligosaccharide mannosidase activity (GO:0015924)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
procollagen galactosyltransferase activity (GO:0050211)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mannosidase activity (GO:0015923)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
5-amino-4-imidazole carboxylate lyase activity (GO:0043727)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cohesin loading activity (GO:0061775)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
acylphosphatase activity (GO:0003998)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
acyl-CoA oxidase activity (GO:0003997)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
aconitate hydratase activity (GO:0003994)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
type 1 metabotropic glutamate receptor binding (GO:0031798)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
translation elongation factor binding (GO:0061770)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
acid phosphatase activity (GO:0003993)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
alpha-1,6-mannosyltransferase activity (GO:0000009)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
ferric iron binding (GO:0008199)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ferrous iron binding (GO:0008198)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
phosphatidate phosphatase activity (GO:0008195)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
UDP-glycosyltransferase activity (GO:0008194)	45	0	1.29	-	 < 0.01	6.37E-01	1.00E00
ribosylnicotinate kinase activity (GO:0061769)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA guanylyltransferase activity (GO:0008193)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA guanylyltransferase activity (GO:0008192)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
metalloendopeptidase inhibitor activity (GO:0008191)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
eukaryotic initiation factor 4E binding (GO:0008190)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA carboxylase activity (GO:0003989)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
plasmalogen synthase activity (GO:0050200)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA C-acyltransferase activity (GO:0003988)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase activity (GO:0043716)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity (GO:0043715)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA hydrolase activity (GO:0003986)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA C-acetyltransferase activity (GO:0003985)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
acetolactate synthase activity (GO:0003984)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
UTP:glucose-1-phosphate uridylyltransferase activity (GO:0003983)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled ion transmembrane transporter activity (GO:0042625)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
UDP-glucose:glycoprotein glucosyltransferase activity (GO:0003980)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
neuropeptide receptor activity (GO:0008188)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
poly-pyrimidine tract binding (GO:0008187)	19	0	.54	-	 < 0.01	1.00E00	1.00E00
ATP-dependent activity, acting on RNA (GO:0008186)	46	0	1.31	-	 < 0.01	6.39E-01	1.00E00
glycogen phosphorylase activity (GO:0008184)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
nerve growth factor receptor activity (GO:0010465)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine diphosphorylase activity (GO:0003977)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity (GO:0003976)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
telomeric repeat-containing RNA binding (GO:0061752)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity (GO:0003975)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
acid sphingomyelin phosphodiesterase activity (GO:0061750)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
(S)-2-hydroxy-acid oxidase activity (GO:0003973)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA ligase (ATP) activity (GO:0003972)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
fructose 6-phosphate aldolase activity (GO:0097023)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
type 2 hypocretin receptor binding (GO:0031772)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
type 1 hypocretin receptor binding (GO:0031771)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
COPII receptor activity (GO:0097020)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
I-SMAD binding (GO:0070411)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
co-SMAD binding (GO:0070410)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
protein carboxyl O-methyltransferase activity (GO:0051998)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase binding (GO:0008179)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
squalene synthase activity (GO:0051996)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
succinate dehydrogenase (ubiquinone) activity (GO:0008177)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine-N7-)-methyltransferase activity (GO:0008176)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA methyltransferase activity (GO:0008175)	25	0	.71	-	 < 0.01	1.00E00	1.00E00
mRNA methyltransferase activity (GO:0008174)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
forked DNA-dependent helicase activity (GO:0061749)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
RNA methyltransferase activity (GO:0008173)	46	0	1.31	-	 < 0.01	6.39E-01	1.00E00
S-methyltransferase activity (GO:0008172)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
O-methyltransferase activity (GO:0008171)	15	0	.43	-	 < 0.01	1.00E00	1.00E00
(R)-2-hydroxyglutarate dehydrogenase activity (GO:0051990)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
CD4 receptor binding (GO:0042609)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
T cell receptor binding (GO:0042608)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
RNA-directed DNA polymerase activity (GO:0003964)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
RNA-3'-phosphate cyclase activity (GO:0003963)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
L27 domain binding (GO:0097016)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
peptide antigen binding (GO:0042605)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
NADPH:quinone reductase activity (GO:0003960)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
follicle-stimulating hormone receptor binding (GO:0031762)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
riboflavin reductase (NADPH) activity (GO:0042602)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
monocarboxylate:sodium symporter activity (GO:0140161)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
NADH binding (GO:0070404)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
NAD+ binding (GO:0070403)	12	0	.34	-	 < 0.01	1.00E00	1.00E00
NADPH binding (GO:0070402)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
NADP+ binding (GO:0070401)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
phosphotyrosine residue binding (GO:0001784)	20	0	.57	-	 < 0.01	1.00E00	1.00E00
C-methyltransferase activity (GO:0008169)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
cobalt ion binding (GO:0050897)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
endoribonuclease activity, cleaving miRNA-paired mRNA (GO:0090624)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein tyrosine phosphatase activator activity (GO:0008160)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
NADPH-hemoprotein reductase activity (GO:0003958)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
peptide-lysine-N-acetyltransferase activity (GO:0061733)	25	0	.71	-	 < 0.01	1.00E00	1.00E00
NAD(P)+ transhydrogenase (B-specific) activity (GO:0003957)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
NAD(P)+-protein-arginine ADP-ribosyltransferase activity (GO:0003956)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
NAD(P)H dehydrogenase (quinone) activity (GO:0003955)	14	0	.40	-	 < 0.01	1.00E00	1.00E00
ribonucleoside-diphosphate reductase activity (GO:0061731)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
NADH dehydrogenase activity (GO:0003954)	15	0	.43	-	 < 0.01	1.00E00	1.00E00
NAD+ nucleosidase activity (GO:0003953)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
NAD+ synthase (glutamine-hydrolyzing) activity (GO:0003952)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
NAD+ kinase activity (GO:0003951)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
NAD+ ADP-ribosyltransferase activity (GO:0003950)	12	0	.34	-	 < 0.01	1.00E00	1.00E00
adipokinetic hormone binding (GO:0097004)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
adipokinetic hormone receptor activity (GO:0097003)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
D5 dopamine receptor binding (GO:0031752)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
D3 dopamine receptor binding (GO:0031750)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
neuregulin binding (GO:0038132)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
hedgehog receptor activity (GO:0008158)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein phosphatase 1 binding (GO:0008157)	15	0	.43	-	 < 0.01	1.00E00	1.00E00
carotenoid dioxygenase activity (GO:0010436)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity (GO:0003948)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
D2 dopamine receptor binding (GO:0031749)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
N-acetyllactosamine synthase activity (GO:0003945)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase activity (GO:0003944)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
N-acetylgalactosamine-4-sulfatase activity (GO:0003943)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
L-serine ammonia-lyase activity (GO:0003941)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
L-iduronidase activity (GO:0003940)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleocytoplasmic carrier activity (GO:0140142)	24	0	.69	-	 < 0.01	1.00E00	1.00E00
sulfotransferase activity (GO:0008146)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
poly(A) binding (GO:0008143)	13	0	.37	-	 < 0.01	1.00E00	1.00E00
oxysterol binding (GO:0008142)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
cAMP response element binding protein binding (GO:0008140)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
L-iditol 2-dehydrogenase activity (GO:0003939)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
IMP dehydrogenase activity (GO:0003938)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3,4-dihydroxy-5-polyprenylbenzoic acid O-methyltransferase activity (GO:0010420)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase (GO:0061712)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
