




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	10_Muscle_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Muscle_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Muscle_Background_AllMultiIsoGenes.txt - REFLIST (4513)	10_Muscle_Active_SpecificSwitches.txt (36)	10_Muscle_Active_SpecificSwitches.txt (expected)	10_Muscle_Active_SpecificSwitches.txt (over/under)	10_Muscle_Active_SpecificSwitches.txt (fold Enrichment)	10_Muscle_Active_SpecificSwitches.txt (raw P-value)	10_Muscle_Active_SpecificSwitches.txt (FDR)
regulation of T cell chemotaxis (GO:0010819)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of hormone levels (GO:0010817)	95	0	.76	-	 < 0.01	1.00E00	1.00E00
calcitonin catabolic process (GO:0010816)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
bradykinin catabolic process (GO:0010815)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
substance P catabolic process (GO:0010814)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neuropeptide catabolic process (GO:0010813)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of PERK-mediated unfolded protein response (GO:1903899)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell-substrate adhesion (GO:0010811)	45	0	.36	-	 < 0.01	1.00E00	1.00E00
negative regulation of PERK-mediated unfolded protein response (GO:1903898)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of PERK-mediated unfolded protein response (GO:1903897)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of IRE1-mediated unfolded protein response (GO:1903896)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
terpenoid biosynthetic process (GO:0016114)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
axon development (GO:0061564)	91	0	.73	-	 < 0.01	1.00E00	1.00E00
positive regulation of ATF6-mediated unfolded protein response (GO:1903893)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of ATF6-mediated unfolded protein response (GO:1903891)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of synaptic vesicle priming (GO:0010808)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic vesicle priming (GO:0010807)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of tumor necrosis factor-mediated signaling pathway (GO:0010804)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of tumor necrosis factor-mediated signaling pathway (GO:0010803)	15	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of peptidyl-threonine phosphorylation (GO:0010801)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of peptidyl-threonine phosphorylation (GO:0010800)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
diterpenoid biosynthetic process (GO:0016102)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ganglion morphogenesis (GO:0061552)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
trigeminal ganglion development (GO:0061551)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cranial ganglion development (GO:0061550)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
membrane fusion involved in viral entry into host cell (GO:0039663)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
sympathetic ganglion development (GO:0061549)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
ganglion development (GO:0061548)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of tube diameter (GO:0035296)	28	0	.22	-	 < 0.01	1.00E00	1.00E00
extraembryonic membrane development (GO:1903867)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glutamate secretion, neurotransmission (GO:0061535)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
trunk segmentation (GO:0035290)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
gamma-aminobutyric acid secretion, neurotransmission (GO:0061534)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of oxidative phosphorylation (GO:1903862)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of dendrite extension (GO:1903861)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of dendrite extension (GO:1903860)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of dendrite extension (GO:1903859)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
segmentation (GO:0035282)	23	0	.18	-	 < 0.01	1.00E00	1.00E00
pre-miRNA export from nucleus (GO:0035281)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
miRNA loading onto RISC involved in gene silencing by miRNA (GO:0035280)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of cristae formation (GO:1903852)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Langerhans cell differentiation (GO:0061520)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cristae formation (GO:1903850)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
miRNA-mediated gene silencing by inhibition of translation (GO:0035278)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
microglial cell proliferation (GO:0061518)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
macrophage proliferation (GO:0061517)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
exocrine system development (GO:0035272)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular response to transforming growth factor beta stimulus (GO:1903846)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
myeloid cell development (GO:0061515)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular response to transforming growth factor beta stimulus (GO:1903845)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endocrine system development (GO:0035270)	24	0	.19	-	 < 0.01	1.00E00	1.00E00
regulation of cellular response to transforming growth factor beta stimulus (GO:1903844)	39	0	.31	-	 < 0.01	1.00E00	1.00E00
cellular response to arsenite ion (GO:1903843)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein localization to cilium (GO:0061512)	21	0	.17	-	 < 0.01	1.00E00	1.00E00
response to arsenite ion (GO:1903842)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
inorganic anion transport (GO:0015698)	34	0	.27	-	 < 0.01	1.00E00	1.00E00
centriole elongation (GO:0061511)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to arsenite(3-) (GO:1903841)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
quaternary ammonium group transport (GO:0015697)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
response to arsenite(3-) (GO:1903840)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
organic cation transport (GO:0015695)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
magnesium ion transport (GO:0015693)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
lead ion transport (GO:0015692)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cadmium ion transport (GO:0015691)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein O-linked mannosylation (GO:0035269)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
protein mannosylation (GO:0035268)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
organ growth (GO:0035265)	26	0	.21	-	 < 0.01	1.00E00	1.00E00
multicellular organism growth (GO:0035264)	23	0	.18	-	 < 0.01	1.00E00	1.00E00
gonad morphogenesis (GO:0035262)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
external genitalia morphogenesis (GO:0035261)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
magnesium ion transmembrane transport (GO:1903830)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization (GO:1903829)	152	0	1.21	-	 < 0.01	6.33E-01	1.00E00
negative regulation of protein localization (GO:1903828)	56	0	.45	-	 < 0.01	1.00E00	1.00E00
L-arginine transmembrane transport (GO:1903826)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
organic acid transmembrane transport (GO:1903825)	34	0	.27	-	 < 0.01	1.00E00	1.00E00
negative regulation of telomere single strand break repair (GO:1903824)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
copper ion import (GO:0015677)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
vanadium ion transport (GO:0015676)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nickel cation transport (GO:0015675)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxygen transport (GO:0015671)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
synaptic transmission, glutamatergic (GO:0035249)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine omega-N-methylation (GO:0035247)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine N-methylation (GO:0035246)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of voltage-gated potassium channel activity (GO:1903818)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of voltage-gated potassium channel activity (GO:1903817)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
gas transport (GO:0015669)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ionotropic glutamate receptor signaling pathway (GO:0035235)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ectopic germ cell programmed cell death (GO:0035234)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glycine import across plasma membrane (GO:1903804)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-leucine import across plasma membrane (GO:1903801)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903800)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
glial cell-neuron signaling (GO:0150098)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
amyloid-beta clearance by cellular catabolic process (GO:0150094)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
amyloid-beta clearance by transcytosis (GO:0150093)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cell competition in a multicellular organism (GO:0035212)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of neuroinflammatory response (GO:0150079)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of neuroinflammatory response (GO:0150078)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of neuroinflammatory response (GO:0150077)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
neuroinflammatory response (GO:0150076)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transport of virus (GO:0046794)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of deacetylase activity (GO:0150066)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of deacetylase activity (GO:0150065)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
vertebrate eye-specific patterning (GO:0150064)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
visual system development (GO:0150063)	93	0	.74	-	 < 0.01	1.00E00	1.00E00
complement-mediated synapse pruning (GO:0150062)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
viral replication complex formation and maintenance (GO:0046786)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
viral mRNA export from host cell nucleus (GO:0046784)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of viral transcription (GO:0046782)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
protein autophosphorylation (GO:0046777)	74	0	.59	-	 < 0.01	1.00E00	1.00E00
viral budding from plasma membrane (GO:0046761)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
viral budding (GO:0046755)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
viral exocytosis (GO:0046754)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
non-lytic viral release (GO:0046753)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular modified amino acid biosynthetic process (GO:0042398)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
phosphagen biosynthetic process (GO:0042396)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of membrane potential (GO:0042391)	86	0	.69	-	 < 0.01	1.00E00	1.00E00
oxidised low-density lipoprotein particle clearance (GO:0150024)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
basal dendrite arborization (GO:0150020)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of transcytosis (GO:1904298)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of ERAD pathway (GO:1904294)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
viral capsid secondary envelopment (GO:0046745)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of ERAD pathway (GO:1904293)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of ERAD pathway (GO:1904292)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitotic DNA damage checkpoint (GO:1904291)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to non-motile cilium (GO:0097499)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of mitotic DNA damage checkpoint (GO:1904290)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endothelial tube lumen extension (GO:0097498)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of vesicle size (GO:0097494)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
glutathione transmembrane transport (GO:0034775)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
sympathetic neuron axon guidance (GO:0097492)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sympathetic neuron projection guidance (GO:0097491)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H4-K20 trimethylation (GO:0034773)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
sympathetic neuron projection extension (GO:0097490)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H4-K20 dimethylation (GO:0034772)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H4-K20 methylation (GO:0034770)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
basal dendrite morphogenesis (GO:0150019)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
basal dendrite development (GO:0150018)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of neuron projection arborization (GO:0150012)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of neuron projection arborization (GO:0150011)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of mitotic DNA damage checkpoint (GO:1904289)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
basement membrane disassembly (GO:0034769)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neuron projection guidance (GO:0097485)	52	0	.41	-	 < 0.01	1.00E00	1.00E00
positive regulation of ion transmembrane transport (GO:0034767)	41	0	.33	-	 < 0.01	1.00E00	1.00E00
dendrite extension (GO:0097484)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of ion transmembrane transport (GO:0034766)	28	0	.22	-	 < 0.01	1.00E00	1.00E00
regulation of ion transmembrane transport (GO:0034765)	112	0	.89	-	 < 0.01	1.00E00	1.00E00
positive regulation of transmembrane transport (GO:0034764)	53	0	.42	-	 < 0.01	1.00E00	1.00E00
vitamin K metabolic process (GO:0042373)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of transmembrane transport (GO:0034763)	35	0	.28	-	 < 0.01	1.00E00	1.00E00
regulation of transmembrane transport (GO:0034762)	135	0	1.08	-	 < 0.01	6.26E-01	1.00E00
vitamin K biosynthetic process (GO:0042371)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of iron ion transmembrane transport (GO:0034760)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
clathrin-dependent synaptic vesicle endocytosis (GO:0150007)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of spontaneous synaptic transmission (GO:0150003)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation by virus of viral protein levels in host cell (GO:0046726)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
L-alanine import across plasma membrane (GO:1904273)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxalic acid secretion (GO:0046724)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
lactic acid secretion (GO:0046722)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle localization (GO:0097479)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of iron ion transmembrane transport (GO:0034759)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
motor neuron migration (GO:0097475)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of iron ion transport (GO:0034757)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
retinal cone cell apoptotic process (GO:0097474)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of iron ion transport (GO:0034756)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
retinal rod cell apoptotic process (GO:0097473)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
iron ion transmembrane transport (GO:0034755)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
water-soluble vitamin biosynthetic process (GO:0042364)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular hormone metabolic process (GO:0034754)	19	0	.15	-	 < 0.01	1.00E00	1.00E00
fat-soluble vitamin biosynthetic process (GO:0042362)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
membrane disassembly (GO:0030397)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
fructosamine catabolic process (GO:0030392)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation by virus of viral protein levels in host cell (GO:0046719)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
acid secretion (GO:0046717)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of TORC1 signaling (GO:1904263)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of TORC1 signaling (GO:1904262)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of basement membrane assembly involved in embryonic body morphogenesis (GO:1904261)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
GDP catabolic process (GO:0046712)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
programmed cell death in response to reactive oxygen species (GO:0097468)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vitamin D metabolic process (GO:0042359)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
GDP metabolic process (GO:0046710)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
ubiquitin-dependent glycoprotein ERAD pathway (GO:0097466)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-fucose catabolic process (GO:0042355)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-fucose metabolic process (GO:0042354)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fructosamine metabolic process (GO:0030389)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fructose 1,6-bisphosphate metabolic process (GO:0030388)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
sperm mitochondrion organization (GO:0030382)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of basement membrane assembly involved in embryonic body morphogenesis (GO:1904259)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
IDP catabolic process (GO:0046709)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
IDP metabolic process (GO:0046707)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of bile acid metabolic process (GO:1904253)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of bile acid metabolic process (GO:1904252)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of bile acid metabolic process (GO:1904251)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
heterocycle catabolic process (GO:0046700)	94	0	.75	-	 < 0.01	1.00E00	1.00E00
keratan sulfate catabolic process (GO:0042340)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of peptidyl-threonine phosphorylation (GO:0010799)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of polynucleotide adenylyltransferase activity (GO:1904247)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of polynucleotide adenylyltransferase activity (GO:1904245)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of ubiquinone biosynthetic process (GO:0010795)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of mRNA export from nucleus (GO:0010793)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA double-strand break processing involved in repair via single-strand annealing (GO:0010792)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
keratan sulfate metabolic process (GO:0042339)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
polyprenol biosynthetic process (GO:0016094)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H3-K79 methylation (GO:0034729)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
polyprenol metabolic process (GO:0016093)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
piecemeal microautophagy of the nucleus (GO:0034727)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
DNA replication-independent chromatin organization (GO:0034724)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
DNA replication-dependent chromatin organization (GO:0034723)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
histone H3-K4 demethylation, trimethyl-H3-K4-specific (GO:0034721)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
taxis (GO:0042330)	104	0	.83	-	 < 0.01	1.00E00	1.00E00
histone H3-K4 demethylation (GO:0034720)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
pericyte cell differentiation (GO:1904238)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of substrate-dependent cell migration, cell attachment to substrate (GO:1904237)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of substrate-dependent cell migration, cell attachment to substrate (GO:1904235)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle priming (GO:0016082)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of phosphorylation (GO:0042326)	126	0	1.01	-	 < 0.01	6.25E-01	1.00E00
synaptic vesicle docking (GO:0016081)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle targeting (GO:0016080)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle exocytosis (GO:0016079)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of serine C-palmitoyltransferase activity (GO:1904222)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA catabolic process (GO:0016078)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of serine C-palmitoyltransferase activity (GO:1904220)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell morphogenesis involved in differentiation (GO:0010770)	30	0	.24	-	 < 0.01	1.00E00	1.00E00
snRNA catabolic process (GO:0016076)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein maturation by iron-sulfur cluster transfer (GO:0097428)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
rRNA catabolic process (GO:0016075)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
sno(s)RNA metabolic process (GO:0016074)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
snRNA metabolic process (GO:0016073)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
rRNA metabolic process (GO:0016072)	89	0	.71	-	 < 0.01	1.00E00	1.00E00
liver regeneration (GO:0097421)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
vasodilation (GO:0042311)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
vasoconstriction (GO:0042310)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity (GO:1904219)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage (GO:0010768)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity (GO:1904217)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage (GO:0010767)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of sodium ion transport (GO:0010766)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of sodium ion transport (GO:0010765)	15	0	.12	-	 < 0.01	1.00E00	1.00E00
