




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	15_Muscle_DeAndDiuGenes.txt (Homo sapiens)
Reference List:	Muscle_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Muscle_Background_AllMultiIsoGenes.txt - REFLIST (4513)	15_Muscle_DeAndDiuGenes.txt (6)	15_Muscle_DeAndDiuGenes.txt (expected)	15_Muscle_DeAndDiuGenes.txt (over/under)	15_Muscle_DeAndDiuGenes.txt (fold Enrichment)	15_Muscle_DeAndDiuGenes.txt (raw P-value)	15_Muscle_DeAndDiuGenes.txt (FDR)
protein-L-histidine N-pros-methyltransferase activity (GO:0106370)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NADH pyrophosphatase activity (GO:0035529)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
phospholipid transporter activity (GO:0005548)	21	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,4,5-trisphosphate binding (GO:0005547)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-4,5-bisphosphate binding (GO:0005546)	20	0	.03	-	 < 0.01	1.00E00	1.00E00
1-phosphatidylinositol binding (GO:0005545)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
bis(5'-adenosyl)-pentaphosphatase activity (GO:0034432)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium-dependent phospholipid binding (GO:0005544)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
bis(5'-adenosyl)-hexaphosphatase activity (GO:0034431)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phospholipid binding (GO:0005543)	133	0	.18	-	 < 0.01	1.00E00	1.00E00
D-lactate dehydrogenase (cytochrome) activity (GO:0004458)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
folic acid binding (GO:0005542)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-actinin binding (GO:0051393)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
lactate dehydrogenase activity (GO:0004457)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hyaluronic acid binding (GO:0005540)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
isocitrate dehydrogenase (NADP+) activity (GO:0004450)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-cysteine methyltransferase activity (GO:0106363)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
betaine-aldehyde dehydrogenase activity (GO:0008802)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
2-hydroxy-3-methylhexadecanoyl-CoA lyase activity (GO:0106360)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptide-glutamate-N-acetyltransferase activity (GO:1990190)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidative RNA demethylase activity (GO:0035515)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycosaminoglycan binding (GO:0005539)	61	0	.08	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I general transcription initiation factor activity (GO:0001181)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
mannose binding (GO:0005537)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
glucose binding (GO:0005536)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
S-adenosyl-L-methionine transmembrane transporter activity (GO:0000095)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
galactose binding (GO:0005534)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
isocitrate dehydrogenase (NAD+) activity (GO:0004449)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
isocitrate dehydrogenase activity (GO:0004448)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol-polyphosphate 5-phosphatase activity (GO:0004445)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
endopeptidase regulator activity (GO:0061135)	37	0	.05	-	 < 0.01	1.00E00	1.00E00
steryl-beta-glucosidase activity (GO:0050295)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidase regulator activity (GO:0061134)	50	0	.07	-	 < 0.01	1.00E00	1.00E00
2-hydroxyacyl-CoA lyase activity (GO:0106359)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
endopeptidase activator activity (GO:0061133)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
inositol-1,4-bisphosphate 1-phosphatase activity (GO:0004441)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptide-serine-N-acetyltransferase activity (GO:1990189)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sphingosine N-acyltransferase activity (GO:0050291)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase activity (H3-K79 specific) (GO:0031151)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
FK506 binding (GO:0005528)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
MH2 domain binding (GO:0035500)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
macrolide binding (GO:0005527)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
mannose-ethanolamine phosphotransferase activity (GO:0051377)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
GTP binding (GO:0005525)	108	0	.14	-	 < 0.01	1.00E00	1.00E00
peroxisome membrane targeting sequence binding (GO:0033328)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tropomyosin binding (GO:0005523)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity (GO:0004439)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
profilin binding (GO:0005522)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3-phosphatase activity (GO:0004438)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
FATZ binding (GO:0051373)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
lamin binding (GO:0005521)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
insulin-like growth factor binding (GO:0005520)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
muscle alpha-actinin binding (GO:0051371)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol phospholipase C activity (GO:0004435)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
1-phosphatidylinositol 4-kinase activity (GO:0004430)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
snRNA methyltransferase activity (GO:0106346)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glyoxylate reductase activity (GO:0106345)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
EH domain binding (GO:1990175)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphodiesterase decapping endonuclease activity (GO:1990174)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I cis-regulatory region sequence-specific DNA binding (GO:0001165)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I core promoter sequence-specific DNA binding (GO:0001164)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I transcription regulatory region sequence-specific DNA binding (GO:0001163)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoskeletal regulatory protein binding (GO:0005519)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding (GO:0001162)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen binding (GO:0005518)	29	0	.04	-	 < 0.01	1.00E00	1.00E00
intronic transcription regulatory region sequence-specific DNA binding (GO:0001161)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
calmodulin binding (GO:0005516)	60	0	.08	-	 < 0.01	1.00E00	1.00E00
protein-containing complex binding (GO:0044877)	427	0	.57	-	 < 0.01	1.00E00	1.00E00
hydroxymethylglutaryl-CoA reductase (NADPH) activity (GO:0004420)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sialate 4-O-acetylesterase activity (GO:0106331)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sialate 9-O-acetylesterase activity (GO:0106330)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium ion binding (GO:0005509)	154	0	.20	-	 < 0.01	1.00E00	1.00E00
4alpha-carboxy-5alpha-cholesta-8-en-3beta-ol:NAD(P)+ 3-dehydrogenase (decarboxylating) activity (GO:0103067)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
copper ion binding (GO:0005507)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
4alpha-carboxy-4beta-methyl-5alpha-cholesta-8-en-3beta-ol:NAD(P)+ 3-oxidoreductase (decarboxylating) activity (GO:0103066)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
iron ion binding (GO:0005506)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
L-ornithine transmembrane transporter activity (GO:0000064)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
fatty acid binding (GO:0005504)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
fatty-acyl-CoA binding (GO:0000062)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
hydroxymethylbilane synthase activity (GO:0004418)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
retinoid binding (GO:0005501)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
hydroxyacylglutathione hydrolase activity (GO:0004416)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hyalurononglucosaminidase activity (GO:0004415)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA uridylyltransferase activity (GO:0050265)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
dehydroascorbic acid transmembrane transporter activity (GO:0033300)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glucosaminyl-phosphatidylinositol O-acyltransferase activity (GO:0032216)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ribosylnicotinamide kinase activity (GO:0050262)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transcription termination site sequence-specific DNA binding (GO:0001147)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
histone deacetylase activity (GO:0004407)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
rhodopsin kinase activity (GO:0050254)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone acetyltransferase activity (GO:0004402)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
retinyl-palmitate esterase activity (GO:0050253)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
retinol O-fatty-acyltransferase activity (GO:0050252)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
methylenetetrahydrofolate reductase NADPH activity (GO:0106313)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
UFM1 transferase activity (GO:0071568)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
methylenetetrahydrofolate reductase NADH activity (GO:0106312)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein serine kinase activity (GO:0106310)	132	0	.18	-	 < 0.01	1.00E00	1.00E00
minus-end directed microfilament motor activity (GO:0060001)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
extracellular matrix constituent conferring elasticity (GO:0030023)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ceramide 1-phosphate transfer activity (GO:1902388)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ceramide 1-phosphate binding (GO:1902387)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
extracellular matrix structural constituent conferring compression resistance (GO:0030021)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA binding (GO:0000049)	27	0	.04	-	 < 0.01	1.00E00	1.00E00
extracellular matrix structural constituent conferring tensile strength (GO:0030020)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
protein threonine phosphatase activity (GO:0106307)	32	0	.04	-	 < 0.01	1.00E00	1.00E00
protein serine phosphatase activity (GO:0106306)	33	0	.04	-	 < 0.01	1.00E00	1.00E00
histone H3-tri/di-methyl-lysine-27 demethylase activity (GO:0071558)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-1,3-mannosyltransferase activity (GO:0000033)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mannosyltransferase activity (GO:0000030)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclic pyranopterin monophosphate synthase activity (GO:0061799)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GTP 3',8'-cyclase activity (GO:0061798)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-1,2-mannosyltransferase activity (GO:0000026)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
fructose-1-phosphatase activity (GO:0103026)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
neuropilin binding (GO:0038191)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA hydratase activity (GO:0033989)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
prostaglandin-E synthase activity (GO:0050220)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
palmitoyl-CoA 9-desaturase activity (GO:0032896)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing compound transmembrane transporter activity (GO:0015932)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
endoribonuclease inhibitor activity (GO:0060698)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA-3-methylbase glycosylase activity (GO:0043733)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RING-like zinc finger domain binding (GO:0071535)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ankyrin repeat binding (GO:0071532)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
pattern recognition receptor activity (GO:0038187)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
single-stranded DNA endodeoxyribonuclease activity (GO:0000014)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
trans-hexaprenyltranstransferase activity (GO:0000010)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
propionate-CoA ligase activity (GO:0050218)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
hexosaminidase activity (GO:0015929)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
fucosidase activity (GO:0015928)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
intracellular chloride channel activity (GO:0061778)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
glucosidase activity (GO:0015926)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
H4 histone acetyltransferase activity (GO:0010485)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
galactosidase activity (GO:0015925)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mannosyl-oligosaccharide mannosidase activity (GO:0015924)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cohesin loading activity (GO:0061775)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
5-amino-4-imidazole carboxylate lyase activity (GO:0043727)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mannosidase activity (GO:0015923)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
acyl-CoA oxidase activity (GO:0003997)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
type 2 metabotropic glutamate receptor binding (GO:0031799)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acyl-CoA dehydrogenase activity (GO:0003995)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
translation elongation factor binding (GO:0061770)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
aconitate hydratase activity (GO:0003994)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
acid phosphatase activity (GO:0003993)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-1,6-mannosyltransferase activity (GO:0000009)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ferrous iron binding (GO:0008198)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidate phosphatase activity (GO:0008195)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
UDP-glycosyltransferase activity (GO:0008194)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
ribosylnicotinate kinase activity (GO:0061769)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
magnesium:sodium antiporter activity (GO:0061768)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA guanylyltransferase activity (GO:0008192)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
metalloendopeptidase inhibitor activity (GO:0008191)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
plasmalogen synthase activity (GO:0050200)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cis-stilbene-oxide hydrolase activity (GO:0033961)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
eukaryotic initiation factor 4E binding (GO:0008190)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA carboxylase activity (GO:0003989)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA C-acyltransferase activity (GO:0003988)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase activity (GO:0043716)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity (GO:0043715)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acetate-CoA ligase activity (GO:0003987)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA hydrolase activity (GO:0003986)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA C-acetyltransferase activity (GO:0003985)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
acetolactate synthase activity (GO:0003984)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
UTP:glucose-1-phosphate uridylyltransferase activity (GO:0003983)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled transmembrane transporter activity (GO:0042626)	32	0	.04	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled ion transmembrane transporter activity (GO:0042625)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
UDP-glucose:glycoprotein glucosyltransferase activity (GO:0003980)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GTPase regulator activity (GO:0030695)	177	0	.24	-	 < 0.01	1.00E00	1.00E00
neuropeptide receptor activity (GO:0008188)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
poly-pyrimidine tract binding (GO:0008187)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
ATP-dependent activity, acting on RNA (GO:0008186)	31	0	.04	-	 < 0.01	1.00E00	1.00E00
glycogen phosphorylase activity (GO:0008184)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nerve growth factor receptor activity (GO:0010465)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine diphosphorylase activity (GO:0003977)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
telomeric repeat-containing RNA binding (GO:0061752)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity (GO:0003976)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity (GO:0003975)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acid sphingomyelin phosphodiesterase activity (GO:0061750)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquitin-protein transferase activator activity (GO:0097027)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
(S)-2-hydroxy-acid oxidase activity (GO:0003973)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA ligase (ATP) activity (GO:0003972)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
fructose 6-phosphate aldolase activity (GO:0097023)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
type 2 hypocretin receptor binding (GO:0031772)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
type 1 hypocretin receptor binding (GO:0031771)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
COPII receptor activity (GO:0097020)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
R-SMAD binding (GO:0070412)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
I-SMAD binding (GO:0070411)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
co-SMAD binding (GO:0070410)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
protein carboxyl O-methyltransferase activity (GO:0051998)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase binding (GO:0008179)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
succinate dehydrogenase (ubiquinone) activity (GO:0008177)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
squalene synthase activity (GO:0051996)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine-N7-)-methyltransferase activity (GO:0008176)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA methyltransferase activity (GO:0008175)	14	0	.02	-	 < 0.01	1.00E00	1.00E00
mRNA methyltransferase activity (GO:0008174)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
forked DNA-dependent helicase activity (GO:0061749)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA methyltransferase activity (GO:0008173)	30	0	.04	-	 < 0.01	1.00E00	1.00E00
S-methyltransferase activity (GO:0008172)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
O-methyltransferase activity (GO:0008171)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
(R)-2-hydroxyglutarate dehydrogenase activity (GO:0051990)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N-methyltransferase activity (GO:0008170)	38	0	.05	-	 < 0.01	1.00E00	1.00E00
CD4 receptor binding (GO:0042609)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA-directed DNA polymerase activity (GO:0003964)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA-3'-phosphate cyclase activity (GO:0003963)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L27 domain binding (GO:0097016)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
peptide antigen binding (GO:0042605)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
NADPH:quinone reductase activity (GO:0003960)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NADH binding (GO:0070404)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NAD+ binding (GO:0070403)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
NADPH binding (GO:0070402)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
protein-macromolecule adaptor activity (GO:0030674)	108	0	.14	-	 < 0.01	1.00E00	1.00E00
phosphatidylserine binding (GO:0001786)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphotyrosine residue binding (GO:0001784)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
C-methyltransferase activity (GO:0008169)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
methyltransferase activity (GO:0008168)	77	0	.10	-	 < 0.01	1.00E00	1.00E00
GDP binding (GO:0019003)	21	0	.03	-	 < 0.01	1.00E00	1.00E00
guanyl nucleotide binding (GO:0019001)	110	0	.15	-	 < 0.01	1.00E00	1.00E00
protein tyrosine phosphatase activator activity (GO:0008160)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NADPH-hemoprotein reductase activity (GO:0003958)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptide-lysine-N-acetyltransferase activity (GO:0061733)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
NAD(P)+ transhydrogenase (B-specific) activity (GO:0003957)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NAD(P)+-protein-arginine ADP-ribosyltransferase activity (GO:0003956)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NAD(P)H dehydrogenase (quinone) activity (GO:0003955)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
ribonucleoside-diphosphate reductase activity (GO:0061731)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NADH dehydrogenase activity (GO:0003954)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
NAD+ nucleosidase activity (GO:0003953)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
NAD+ kinase activity (GO:0003951)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
NAD+ ADP-ribosyltransferase activity (GO:0003950)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
adipokinetic hormone receptor activity (GO:0097003)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein tyrosine kinase binding (GO:1990782)	31	0	.04	-	 < 0.01	1.00E00	1.00E00
D5 dopamine receptor binding (GO:0031752)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ceramide binding (GO:0097001)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
neuregulin binding (GO:0038132)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
neuregulin receptor activity (GO:0038131)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hedgehog receptor activity (GO:0008158)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein phosphatase 1 binding (GO:0008157)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
D2 dopamine receptor binding (GO:0031749)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acetyllactosamine synthase activity (GO:0003945)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
D1 dopamine receptor binding (GO:0031748)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acetylgalactosamine-4-sulfatase activity (GO:0003943)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleocytoplasmic carrier activity (GO:0140142)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
glucan 1,3-alpha-glucosidase activity (GO:0033919)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sulfotransferase activity (GO:0008146)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
poly(A) binding (GO:0008143)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
oxysterol binding (GO:0008142)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cAMP response element binding protein binding (GO:0008140)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
IMP dehydrogenase activity (GO:0003938)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
3,4-dihydroxy-5-polyprenylbenzoic acid O-methyltransferase activity (GO:0010420)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase (GO:0061712)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-1,3-glucosidase activity (GO:0090600)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N(6)-L-threonylcarbamoyladenine synthase activity (GO:0061711)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
arrestin family protein binding (GO:1990763)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
osmolarity-sensing cation channel activity (GO:1990760)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
CCR5 chemokine receptor binding (GO:0031730)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
retinal dehydrogenase activity (GO:0001758)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dynein light intermediate chain binding (GO:0051959)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear localization sequence binding (GO:0008139)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
protein tyrosine/serine/threonine phosphatase activity (GO:0008138)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
NADH dehydrogenase (ubiquinone) activity (GO:0008137)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
translation factor activity, RNA binding (GO:0008135)	34	0	.05	-	 < 0.01	1.00E00	1.00E00
hyaluronoglucuronidase activity (GO:0033906)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transcription factor binding (GO:0008134)	241	0	.32	-	 < 0.01	1.00E00	1.00E00
tRNA-5-taurinomethyluridine 2-sulfurtransferase (GO:0061708)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
